document_order,filename,role,transaction_id,upload_date,receipt_timestamp,status,size_bytes,content_type,cost_credits,winc_amount,owner_address,data_caches,fast_finality_indexes,turbo_gateway_url,arweave_net_url,local_sha256,local_sha512,receipt_filename,receipt_sha256,receipt_sha512,filename_match,size_match,receipt_status,gateway_retrieval_status
1,The_Structural_Penalty_of_Enclosure_Arweave_Preservation_Record_Final_v1_0.pdf,Final Arweave Preservation Record,6gYzc_SqJL7MQ-7VtFnAdhb8QU6ZPTF9Nicvrppumuc,"7/28/2026, 1:14:19 PM",2026-07-28T17:15:55.180Z,CONFIRMED,123984,application/pdf,0.001300,1299974863,3NdgyEYWi44PsKJBWIUZRGW9dw9dzMP-gHItz12gCIg,turbo-gateway.com,turbo-gateway.com,https://turbo-gateway.com/6gYzc_SqJL7MQ-7VtFnAdhb8QU6ZPTF9Nicvrppumuc,https://arweave.net/6gYzc_SqJL7MQ-7VtFnAdhb8QU6ZPTF9Nicvrppumuc,c25e6eba435c33066920aa2a9c4c861046322734e158bd53c065f5763f5315fa,8508836d8d5a985194d0ce6961fb6f639d8f2d2c58624771999652ca3d0ccb0116db6c73d86f60181a3b392c516c790b02224f8b1bd1dcb27fb1cdac0ebca349,turbo-receipt-6gYzc_Sq.json,41aa7bd2c2fc99282989ea994e442dae771ae45cd95711c9fba96d97f4493013,91e7a9781ad140ad8ffb8784504d9ac1dca4f4760d5d93d30a3ef2e8afd73a62e6269e3605d7eb940a4af1965469ad1500c8169d75fbe27e897e065d62393ae7,PASS,PASS,PASS,NOT RECHECKED - documentary upload receipt confirmation only
2,The_Structural_Penalty_of_Enclosure_Arweave_Final_Validation_Report_v1_0.pdf,Final Arweave Validation Report,WZfIH6S4ahxrPT9CEZ2RU-gJwPPCqeeOoQAVfxeTZxs,"7/28/2026, 1:14:19 PM",2026-07-28T17:15:41.641Z,CONFIRMED,72128,application/pdf,0.000000,0,3NdgyEYWi44PsKJBWIUZRGW9dw9dzMP-gHItz12gCIg,turbo-gateway.com,turbo-gateway.com,https://turbo-gateway.com/WZfIH6S4ahxrPT9CEZ2RU-gJwPPCqeeOoQAVfxeTZxs,https://arweave.net/WZfIH6S4ahxrPT9CEZ2RU-gJwPPCqeeOoQAVfxeTZxs,e45fc63c023db09a2f1f47a05602459cd6f2e68aaf4e0a679f399b9ee3263d42,72efd6c70239630154ce7ec483802739f9df5f9f18342be8f28704c82b0ca567d128755c921b0b1e4310e256bdfb426dd25dd42313bbd5e7f1bc21720c3b5469,turbo-receipt-WZfIH6S4.json,cd23d7d17d5a2bfcea31f33e57a14ac8481b2788ee3c3563941d1e3fc31347ec,1ff860368c7733d6c31e22557a2c5f6ac706296b3f88cd0f9926be7981ec4c24fc618f79fcfb1939a3105763ceaa2dfff1a9443d7e4a4d87d5ebe4f61a531102,PASS,PASS,PASS,NOT RECHECKED - documentary upload receipt confirmation only
3,The_Structural_Penalty_of_Enclosure_Arweave_Preservation_Record_Final_Lock_Record_v1_0.pdf,Final Arweave Lock Record,u47SQExeKN7sWXRC13yUVT8ThFbvMPgh1eJS3yXVd5U,"7/28/2026, 1:14:18 PM",2026-07-28T17:15:21.507Z,CONFIRMED,60273,application/pdf,0.000000,0,3NdgyEYWi44PsKJBWIUZRGW9dw9dzMP-gHItz12gCIg,turbo-gateway.com,turbo-gateway.com,https://turbo-gateway.com/u47SQExeKN7sWXRC13yUVT8ThFbvMPgh1eJS3yXVd5U,https://arweave.net/u47SQExeKN7sWXRC13yUVT8ThFbvMPgh1eJS3yXVd5U,50ec07798da01188d98b1884e59109eed0a6897a2e53f798ef9140398ac4c832,c6a19a01147fa5a013d9af66b0e2ad9f3dd1f81f2e2674f0d286a27e995538d2b5b4499bf6c30cde649eaa720a3a2abd2b58554aaff3a32051bd382a357e5eab,turbo-receipt-u47SQExe.json,dabd8197dbe3350acef096ed1f39767a6e6a9a487ac788a59ec4b37b50b41173,4c419847379b158ea09dec0944590d78f720e4ed4a07327a32b6a68d6cc543491cd25bb7e645eafec620c4d2155359967d19134d70f71ecb9986f1e313c215db,PASS,PASS,PASS,NOT RECHECKED - documentary upload receipt confirmation only
4,The_Structural_Penalty_of_Enclosure_Arweave_Publication_Index_Final_v1_0.json,Final machine-readable publication index,stm5K5HXv-vF-GajyVn90brVODS2l8QZt1RLZTJjhbQ,"7/28/2026, 1:14:17 PM",2026-07-28T17:14:50.385Z,CONFIRMED,26636,application/json,0.000000,0,3NdgyEYWi44PsKJBWIUZRGW9dw9dzMP-gHItz12gCIg,turbo-gateway.com,turbo-gateway.com,https://turbo-gateway.com/stm5K5HXv-vF-GajyVn90brVODS2l8QZt1RLZTJjhbQ,https://arweave.net/stm5K5HXv-vF-GajyVn90brVODS2l8QZt1RLZTJjhbQ,fc562fe8ce154a52b83577d623a458108ee14975abba2c364c645d32e71da237,ebc19da467428b31652104c9327b526ce5b70f2676ca08de3d6e90c9e4bae92cdf127d7e461fec8d9c8a9f7767f623c1ed2675d85f4ae7ee8b80503aa07fd98b,turbo-receipt-stm5K5HX.json,a1162e635518c0e2fdb0dc62c1804e64461c19613e95266528064110bc41420f,3a806fc38c7a1c34d082556efc37fd838bd5601d308054c793ff9b6325e54c394a80ed3f31808dfa6efcc69a76de7adc330d21175cc26f8ad5f61df143a70c10,PASS,PASS,PASS,NOT RECHECKED - documentary upload receipt confirmation only
5,The_Structural_Penalty_of_Enclosure_Arweave_Retrieval_Evidence_Registry_VERIFIED.csv,Verified cross-gateway retrieval evidence,pCNsf9ZgorgW5FTCZoQQL7GZtbKDiDglxynDfKSH0lM,"7/28/2026, 1:14:17 PM",2026-07-28T17:14:38.871Z,CONFIRMED,15353,text/csv,0.000000,0,3NdgyEYWi44PsKJBWIUZRGW9dw9dzMP-gHItz12gCIg,turbo-gateway.com,turbo-gateway.com,https://turbo-gateway.com/pCNsf9ZgorgW5FTCZoQQL7GZtbKDiDglxynDfKSH0lM,https://arweave.net/pCNsf9ZgorgW5FTCZoQQL7GZtbKDiDglxynDfKSH0lM,e1d600ad800f7a1727ebcebd104205e1e1b25571a1bfe5740385410132ad51b8,15ab0a0f66ba035e8fbf317effc565ca931b2a17bd57345287f0750ca143498b37eb7f6330a2478011a3d3b20eacc42c53094c8c0e80a22bf4d9cb96fd8cff1f,turbo-receipt-pCNsf9Zg.json,df826ce3125936a195cd01ccc651a1f3c5d7fb1d38b7e034c7bc660268d4b5b8,a7ed2b8cdf3ee5abbd4515588d01ec0eed76cf527c67912667da34f94d1e2683fae59f3bb740dcf0e5eca5c6bd1b708f64310d670c8e8c39ef1f6b4ad2ce78ae,PASS,PASS,PASS,NOT RECHECKED - documentary upload receipt confirmation only
